ts_utc,ts_local,ticker,price,signal,method
2025-09-18T09:24:30.593069+00:00,2025-08-20 09:45:00,CTG,50700,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.599944+00:00,2025-08-21 10:00:00,CTG,51900,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.601063+00:00,2025-08-21 10:45:00,CTG,52000,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.605981+00:00,2025-08-25 14:15:00,CTG,49000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.607937+00:00,2025-09-03 10:30:00,CTG,50400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.610147+00:00,2025-09-05 10:30:00,CTG,51300,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.611143+00:00,2025-09-08 09:15:00,CTG,49750,1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.611143+00:00,2025-09-08 10:45:00,CTG,49400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.612140+00:00,2025-09-08 11:15:00,CTG,49450,1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.613137+00:00,2025-09-08 14:15:00,CTG,49050,1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.613137+00:00,2025-09-10 09:45:00,CTG,51000,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.614133+00:00,2025-09-10 13:30:00,CTG,50400,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.614133+00:00,2025-09-12 09:15:00,CTG,50800,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.615131+00:00,2025-09-12 10:15:00,CTG,50900,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.615900+00:00,2025-09-12 11:00:00,CTG,50900,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.615900+00:00,2025-09-15 13:30:00,CTG,50100,1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.617025+00:00,2025-09-15 13:45:00,CTG,50300,1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.617025+00:00,2025-09-16 10:30:00,CTG,52900,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.618024+00:00,2025-09-16 13:15:00,CTG,52700,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.619380+00:00,2025-09-16 13:30:00,CTG,52800,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.621379+00:00,2025-09-17 14:00:00,CTG,51900,1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.621379+00:00,2025-09-17 14:15:00,CTG,51700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:30.622528+00:00,2025-09-18 13:30:00,CTG,50600,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.378799+00:00,2025-08-20 09:15:00,MBB,28050,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.378799+00:00,2025-08-20 09:30:00,MBB,27750,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.380242+00:00,2025-08-20 10:15:00,MBB,27600,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.380242+00:00,2025-08-20 10:30:00,MBB,27450,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.380242+00:00,2025-08-20 10:45:00,MBB,27300,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.381676+00:00,2025-08-20 13:00:00,MBB,27450,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.381676+00:00,2025-08-21 10:45:00,MBB,28450,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.381676+00:00,2025-08-21 13:00:00,MBB,28400,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.382695+00:00,2025-08-21 14:15:00,MBB,28300,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.382695+00:00,2025-08-22 09:15:00,MBB,27800,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.382695+00:00,2025-08-22 10:45:00,MBB,27250,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.383719+00:00,2025-08-22 11:15:00,MBB,27200,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.383719+00:00,2025-08-22 14:15:00,MBB,27100,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.383719+00:00,2025-08-25 13:15:00,MBB,26050,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.384729+00:00,2025-08-25 13:30:00,MBB,26450,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.385785+00:00,2025-08-25 14:15:00,MBB,26400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.386981+00:00,2025-08-27 09:15:00,MBB,27900,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.388164+00:00,2025-08-27 10:45:00,MBB,27850,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.388164+00:00,2025-08-27 11:15:00,MBB,27750,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.389225+00:00,2025-08-28 10:00:00,MBB,26700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.389225+00:00,2025-08-29 09:30:00,MBB,27250,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.389225+00:00,2025-08-29 09:45:00,MBB,27500,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.390250+00:00,2025-08-29 14:00:00,MBB,27750,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.390250+00:00,2025-09-03 13:15:00,MBB,28500,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.390250+00:00,2025-09-03 14:15:00,MBB,28400,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.391441+00:00,2025-09-03 14:45:00,MBB,28450,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.391441+00:00,2025-09-04 10:00:00,MBB,28450,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.391441+00:00,2025-09-05 14:15:00,MBB,27500,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.392663+00:00,2025-09-08 09:15:00,MBB,26900,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.392663+00:00,2025-09-08 09:30:00,MBB,26750,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.392663+00:00,2025-09-08 13:15:00,MBB,27050,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.392663+00:00,2025-09-10 09:15:00,MBB,27250,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.392663+00:00,2025-09-10 13:30:00,MBB,26950,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.394165+00:00,2025-09-11 09:30:00,MBB,26500,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.394165+00:00,2025-09-11 09:45:00,MBB,26250,1,Wyckoff+VSA+RSI
