Mã,Sàn,Ngành ICB - cấp 2,Năm,Lợi nhuận sau thuế thu nhập doanh nghiệp,TỔNG CỘNG TÀI SẢN,GTCL tài sản cố định vô hình,NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,price,marketcap,avg20_volume,Slcp,eps,pe,bvps,pb,roe
ACB,HOSE,Ngân hàng,2024.0,16789.768,864005.7030000001,2190.172,780544.025,83461.678,25800.0,115239700.0,5905.175,4466655038.75969,3758.9130690204847,6.863686264158028,18195.16065036616,1.417959450634518,0.2011673908593115
BCM,HOSE,Bất động sản,2024.0,2309.721093748,58777.428880226005,128.539543481,38297.527424945,20479.901455281,70900.0,73381490.0,219.045,1034999858.9562764,2231.6148874427763,31.77071474068038,19663.154285183096,3.605728713293255,0.112779892949749
BID,HOSE,Ngân hàng,2024.0,25121.739,2760693.352,5320.612,2616181.8030000003,144511.549,37550.0,259001600.0,2999.0350000000003,6897512649.800266,3642.144679608157,10.309859520473482,20179.874117959036,1.8607648283882237,0.1738389711676262
BVH,HOSE,Bảo hiểm,2024.0,2157.033004533,251217.777466436,1018.134513426,227711.204753433,23506.572713003003,50700.0,37635740.0,819.4550000000002,742322287.9684418,2905.7904356290883,17.44792032431056,30294.709675392438,1.6735595271666268,0.09176297331255806
CTG,HOSE,Ngân hàng,2024.0,25475.009000000002,2385383.532,3852.9410000000003,2235439.3940000003,149944.138,37800.0,202985500.0,6022.142105263158,5369986772.486773,4743.96121989009,7.968024662915723,27205.131630584394,1.3894437458815565,0.16989666511671167
FPT,HOSE,Công nghệ Thông tin,2024.0,9420.078521864001,72013.238235529,2039.5205161220001,36216.611816559,35796.62641897,152500.0,224337900.0,3684.774999999999,1471068196.7213116,6403.563439723115,23.814865181782906,22947.342603208457,6.645649678785801,0.26315548319022436
GAS,HOSE,"Điện, nước & xăng dầu khí đốt",2024.0,10590.120585510002,81893.56450350101,369.01235291300003,20322.569237871,61570.99526563,68100.0,159536000.0,517.5421052631579,2342672540.3817916,4520.529610076917,15.064606555876816,26124.85605979859,2.6067129267285623,0.17199852852503086
GVR,HOSE,Hóa chất,2024.0,5103.472212259,83544.730844423,119.044003308,24938.434764559002,58606.296079864005,30350.0,121400000.0,1904.5684210526313,4000000000.0,1275.86805306475,23.787726267694033,14621.813019139,2.0756659902758865,0.08708061340891418
HDB,HOSE,Ngân hàng,2024.0,13247.888,697280.8060000001,878.4720000000001,640623.305,56657.501000000004,25500.0,89124030.0,10099.78,3495060000.0,3790.4608218456906,6.727414211231254,15959.390968967655,1.597805332896703,0.23382407918061898
HPG,HOSE,Tài nguyên Cơ bản,2024.0,12020.020984285,224489.70491700902,184.21597846600002,109842.249570293,114647.455346716,26650.0,170460000.0,17826.370000000003,6396247654.78424,1879.230078793824,14.18133963516867,17895.37327914973,1.4892117411739305,0.10484332991023779
LPB,HOSE,Ngân hàng,2024.0,9720.900000000001,508330.39800000004,1015.998,464992.09800000006,43338.3,31250.0,93352540.0,2629.19,2987281280.0,3254.0959785347036,9.603281589153266,14167.498147345525,2.205752891229784,0.22430275299215707
MBB,HOSE,Ngân hàng,2024.0,22951.264000000003,1128801.0620000002,1679.72,1011741.481,117059.581,21826.08,133188700.0,9077.035,6102273060.485437,3761.1007853152714,5.803109580369952,18907.685686359906,1.1543496312584378,0.19606480566507412
MSN,HOSE,Thực phẩm và đồ uống,2024.0,4272.384,147584.71800000002,9705.575,106832.338,40752.380000000005,70000.0,100684700.0,3034.105,1438352857.142857,2970.3309440262524,23.56639758972976,21584.971202178687,3.2429971457610525,0.10483765610744697
MWG,HOSE,Bán lẻ,2024.0,3733.28822872,70218.70973006201,63.467566139000006,42097.132906207,28121.576823855,61000.0,89150530.0,5372.8099999999995,1461484098.3606558,2554.4501188262143,23.87989475716593,19198.367802419973,3.177353441072782,0.13275529505703684
PLX,HOSE,Dầu khí,2024.0,3163.218703173,81408.243016162,2412.170024972,52105.984221342005,29302.25879482,37500.0,47647220.0,699.6263157894737,1270592533.3333333,2489.5618541645767,15.06289146311807,21163.424201229365,1.771924979787612,0.10795136051873884
SAB,HOSE,Thực phẩm và đồ uống,2024.0,4494.773426912,33439.406364651004,957.357658535,9002.313181979001,24437.093182672,55500.0,71182220.0,599.0842105263159,1282562522.5225224,3504.525781769886,15.836664774647742,18306.893513430794,3.031644880617381,0.18393240936279528
SHB,HOSE,Ngân hàng,2024.0,9216.046,747243.848,4501.143,689394.3280000001,57849.520000000004,9234.23,37539710.0,11903.078947368422,4065277776.273712,2267.0150742927954,4.073298896294571,13122.935242299653,0.7036710788783714,0.1593106736235668
SSB,HOSE,Ngân hàng,2024.0,4816.026000000001,325698.848,878.565,290695.993,35002.855,16750.0,47486240.0,1903.7368421052636,2834999402.9850745,1698.774960914994,9.860046436626378,12036.789130914549,1.391567121249996,0.13758951948348214
SSI,HOSE,Dịch vụ tài chính,2024.0,2845.109032672,73507.30255972201,112.84395579500001,46680.651947954,26826.650611768,26050.02,51106770.0,15727.984210526316,1961870662.6712763,1450.2021396242856,17.963026869308695,13616.497338106672,1.9131219544322378,0.1060553206528116
STB,HOSE,Ngân hàng,2024.0,10087.495,748094.5460000001,2979.9300000000003,693122.476,54972.07000000001,36900.0,69564500.0,8738.926315789473,1885216802.1680217,5350.840809608349,6.896112463996264,27578.865168297056,1.3379810871412483,0.18350218574632535
