entry_date,exit_date,ticker,signal,signal_name,entry_price,exit_price,return_pct,holding_days,confidence
2023-03-09,2023-03-23,CTG,1,Buy,26336.370059999997,25657.94637,-0.025759954331382753,10,0.7588884
2023-03-30,2023-04-13,CTG,1,Buy,25978.052099999997,26283.74994,0.01176754280202573,10,0.70067334
2023-05-08,2023-05-22,CTG,1,Buy,24992.677709999996,24987.442545,-0.00020946795140321903,10,0.7233748
2023-06-08,2023-06-22,CTG,1,Buy,25574.944395,26328.450195,0.029462656432884208,10,0.7648618
2023-06-26,2023-07-10,CTG,1,Buy,26202.000825,26551.95147,0.013355874894336464,10,0.7088823
2023-07-12,2023-07-26,CTG,1,Buy,26873.846999999998,26641.35198,-0.008651348651348595,10,0.7553661
2023-11-10,2023-11-24,CTG,1,Buy,26336.370059999997,26462.55096,0.004791127240106947,10,0.7031274
2023-12-06,2023-12-20,CTG,1,Buy,26676.649999999998,26523.45,-0.005742850020523458,10,0.7386852
2023-12-25,2023-12-29,CTG,1,Buy,26926.899999999998,27072.9,0.005422087206473959,4,0.7591522
2023-01-03,2023-01-17,DRC,1,Buy,13984.538736046778,14321.309176321956,0.024081626618625163,10,0.7169547
2023-01-18,2023-02-08,DRC,1,Buy,14782.810503220759,14852.958704909359,0.004745254745254085,10,0.71039295
2023-03-23,2023-04-06,DRC,1,Buy,14583.042793717696,14819.730609372653,0.01623034499747346,10,0.7061241
2023-04-17,2023-05-04,DRC,1,Buy,13783.97195570585,13989.028220954893,0.014876427919904458,10,0.7289106
2023-05-09,2023-05-23,DRC,1,Buy,14017.034283459305,14155.168698638425,0.009854753322685702,10,0.74174637
2023-05-25,2023-06-08,DRC,1,Buy,14150.21275646128,14648.034467532003,0.03518121738794402,10,0.71525717
2023-08-01,2023-08-15,DRC,1,Buy,16481.083603921434,16624.63670893398,0.008710173946231914,10,0.75198483
2023-09-05,2023-09-19,DRC,1,Buy,16374.982207329746,16165.782617179839,-0.01277556137167985,10,0.8039886
2023-11-03,2023-11-17,DRC,1,Buy,15844.475224370792,16306.96849156565,0.02918956043955854,10,0.7561465
2023-11-21,2023-12-05,DRC,1,Buy,16339.615075132346,16730.52611472329,0.023924127820237322,10,0.73936325
2023-12-06,2023-12-20,DRC,1,Buy,16728.653529302213,17083.49080068792,0.02121134679274496,10,0.7637604
2023-01-04,2023-01-18,HDB,1,Buy,10806.847354681877,11510.86875527278,0.06514586331099596,10,0.72965205
2023-04-12,2023-04-26,HDB,1,Buy,12988.045903333299,12467.359282215262,-0.04008968131105896,10,0.786264
2023-05-19,2023-06-02,HDB,1,Buy,12822.803589041445,13245.816989676257,0.03298915074986612,10,0.71564627
2023-06-28,2023-07-12,HDB,1,Buy,13063.321989968248,12898.157751102079,-0.012643356643356446,10,0.7395183
2023-07-18,2023-07-21,HDB,1,Buy,13167.828565887996,13752.849364020001,0.04442803877683636,3,0.72713935
2023-08-21,2023-09-06,HDB,1,Buy,12979.197561329998,13752.849364020001,0.05960705960705985,10,0.7498067
2023-09-19,2023-10-03,HDB,1,Buy,14180.975113305,13672.890937485,-0.03582857820145946,10,0.72410256
2023-10-13,2023-10-27,HDB,1,Buy,14100.856609839999,13792.828577287499,-0.021844632640087187,10,0.7157716
2023-11-02,2023-11-16,HDB,1,Buy,14100.856609839999,15152.1218283825,0.07455328762146954,10,0.72993284
2023-12-19,2023-12-29,HDB,1,Buy,15182.456406617499,16231.560586605,0.06909976566968654,8,0.70527846
2023-03-23,2023-04-06,VPD,1,Buy,21175.506305849594,22784.228664593506,0.07597090409590405,10,0.7225585
2023-05-22,2023-06-05,VPD,1,Buy,21134.147895096034,21504.679591038464,0.017532369782857864,10,0.7105038
2023-10-31,2023-11-14,VPD,1,Buy,19153.080894567818,20118.558888835778,0.05040849561397654,10,0.766455
