entry_date,exit_date,ticker,signal,signal_name,entry_price,exit_price,return_pct,holding_days,confidence
2021-01-28,2021-01-29,FMC,1,Buy,24263.791162514903,24594.33433500381,0.013622898840291765,1,0.49553764
2021-03-22,2021-04-01,FMC,1,Buy,30424.684222910073,30869.25867732494,0.014612294778727625,8,0.53569555
2021-04-09,2021-04-12,FMC,1,Buy,29833.913655474928,29479.510333052494,-0.011879209899013544,1,0.47918534
2021-06-24,2021-07-02,FMC,1,Buy,31226.444278714782,31416.735297795924,0.0060939060939081,6,0.5808633
2021-07-05,2021-07-06,FMC,1,Buy,30931.058994997256,30490.236401614227,-0.014251778235408203,1,0.46305504
2021-08-20,2021-08-30,FMC,1,Buy,34939.859274021495,38407.59060534831,0.09924857750944482,6,0.56836885
2021-09-07,2021-09-09,FMC,1,Buy,37556.12892980568,37902.227571067495,0.009215503597527076,2,0.5105972
2021-12-08,2021-12-09,FMC,1,Buy,44982.95892041891,45314.21874052066,0.00736411805830272,1,0.4539193
2021-12-13,2021-12-20,FMC,1,Buy,45573.72948785406,43798.12963767791,-0.0389610389610395,5,0.49343175
2021-01-22,2021-01-25,IJC,1,Buy,15742.107215632896,16808.205164320083,0.06772269646521564,1,0.49921843
2021-01-27,2021-02-03,IJC,1,Buy,15553.57898550556,14738.538110504493,-0.05240214331123443,5,0.552536
2021-03-05,2021-03-11,IJC,1,Buy,18381.502437415715,19599.119827798633,0.06624145085683787,4,0.5629236
2021-03-16,2021-03-18,IJC,1,Buy,18852.823012734007,20069.498703665744,0.06453546453546731,2,0.5181357
2021-03-25,2021-03-26,IJC,1,Buy,18192.97420728828,17466.735590534157,-0.03991863059219775,1,0.54897463
2021-03-29,2021-03-30,IJC,1,Buy,16967.54071146064,16494.619247075247,-0.02787212787212938,1,0.5262212
2021-05-10,2021-05-11,IJC,1,Buy,16464.798764454437,16118.316146381521,-0.021043841654532165,1,0.54844445
2021-05-13,2021-05-14,IJC,1,Buy,16936.11933977273,16620.053613973123,-0.0186622283097261,1,0.5170692
2021-05-17,2021-05-19,IJC,1,Buy,17093.22619821216,16933.639531217963,-0.009336251983308378,2,0.50801283
2021-05-20,2021-05-24,IJC,1,Buy,16401.95602107863,17780.321507778895,0.08403665300217172,2,0.59860635
2021-06-10,2021-06-15,IJC,1,Buy,19481.25044649183,20696.67053815522,0.06238922367954368,3,0.5839919
2021-06-24,2021-06-28,IJC,1,Buy,20141.09925193756,21888.297023685383,0.08674788549983153,2,0.57036173
2021-06-29,2021-07-02,IJC,1,Buy,21963.538809835118,20477.160396083964,-0.06767481445592748,3,0.50459033
2021-08-23,2021-08-25,IJC,1,Buy,17348.60841065422,17547.46728412266,0.011462525913393577,2,0.5912647
2021-08-31,2021-09-01,IJC,1,Buy,18919.676995048725,19048.67646242207,0.006818270069150997,1,0.5262274
2021-10-06,2021-10-07,IJC,1,Buy,19253.946906622026,19615.799929779656,0.01879370629370424,1,0.51217574
2021-10-08,2021-10-12,IJC,1,Buy,19120.238941992688,19815.961153552897,0.03638669023284192,2,0.5045676
2021-11-03,2021-11-04,IJC,1,Buy,21928.106199208407,22684.938694303055,0.03451426622158412,1,0.56306994
2021-11-15,2021-11-19,IJC,1,Buy,23398.893810130936,20883.487680343685,-0.10750107035821342,4,0.57193667
2021-01-21,2021-02-04,PRE,1,Buy,12327.985126190733,11215.764502213991,-0.0902191730921086,10,0.5165726
2021-02-05,2021-02-18,PRE,1,Buy,11238.218485201405,11487.661823479737,0.02219598583234533,4,0.5103972
2021-02-22,2021-03-02,PRE,1,Buy,11442.549730386974,11351.713162847014,-0.007938490081343787,6,0.44311985
2021-03-03,2021-03-10,PRE,1,Buy,11306.328900263296,11827.533475061991,0.04609847983341068,5,0.4437261
2021-03-18,2021-03-30,PRE,1,Buy,11646.880975572441,11487.661823479737,-0.013670539986339894,8,0.42574129
2021-03-31,2021-04-14,PRE,1,Buy,11442.549730386974,11419.687493163425,-0.001998001998001922,10,0.4264861
2021-04-16,2021-04-19,PRE,1,Buy,11306.328900263296,11215.764502213991,-0.00801006222693514,1,0.44984573
2021-04-20,2021-04-22,PRE,1,Buy,11238.218485201405,11215.764502213991,-0.0019980019980018592,1,0.52660143
2021-04-23,2021-04-28,PRE,1,Buy,11238.218485201405,11215.764502213991,-0.0019980019980018592,3,0.5320352
2021-04-29,2021-05-11,PRE,1,Buy,11170.108070139619,10943.867180948248,-0.020254136107793554,6,0.67863387
2021-05-31,2021-06-02,PRE,1,Buy,11170.108070139619,11487.661823479737,0.028428888184977893,2,0.49395585
2021-06-09,2021-06-15,PRE,1,Buy,12259.874711128843,12303.353787277267,0.003546453546458821,4,0.43916535
2021-06-24,2021-07-06,PRE,1,Buy,12123.653881005266,12167.405126644344,0.0036087507997588923,8,0.509258
2021-07-07,2021-07-20,PRE,1,Buy,12123.653881005266,12031.456466011423,-0.007604754795771064,9,0.51565504
2021-07-22,2021-07-23,PRE,1,Buy,12055.543465943376,12235.379456960754,0.014917286103725723,1,0.41344744
2021-07-28,2021-07-30,PRE,1,Buy,12259.874711128843,12099.430796327933,-0.013086913086906788,2,0.47491124
2021-08-20,2021-08-31,PRE,1,Buy,12189.149298339713,12376.97201683329,0.015409009595046977,7,0.5265903
2021-09-10,2021-09-15,PRE,1,Buy,12614.352180839807,14640.189757054242,0.160597829137157,3,0.40869215
2021-09-20,2021-09-21,PRE,1,Buy,14244.29656375736,14215.83643076284,-0.001998001998001976,1,0.5209913
2021-09-28,2021-09-29,PRE,1,Buy,14811.233740424319,14215.83643076284,-0.04019903541434637,1,0.6135654
2021-10-11,2021-10-13,PRE,1,Buy,14669.499446257554,14286.561985144606,-0.026104330452164263,2,0.45187858
2021-10-14,2021-10-19,PRE,1,Buy,14386.030857924023,14852.366420200045,0.03241586000207686,3,0.4804887
2021-10-27,2021-10-29,PRE,1,Buy,15519.905211257845,15347.445300873318,-0.011112175495725806,2,0.44949597
2021-11-01,2021-11-03,PRE,1,Buy,15378.170917091282,14710.91531143621,-0.04338978993356642,2,0.5094656
2021-11-16,2021-11-17,PRE,1,Buy,15165.569475841183,15842.524181546689,0.04463760538527075,1,0.44951162
2021-11-22,2021-11-23,PRE,1,Buy,14740.366593340987,14852.366420200045,0.0075981710597113105,1,0.46511692
2021-11-24,2021-11-29,PRE,1,Buy,14882.100887507753,14710.91531143621,-0.011502782931356025,3,0.58139384
2021-12-02,2021-12-08,PRE,1,Buy,14740.366593340987,14710.91531143621,-0.00199800199800191,4,0.46595347
2021-12-31,2021-12-31,PRE,1,Buy,14586.592806837149,14557.44876526505,-0.00199800199800178,0,0.46352437
2021-01-28,2021-02-04,TDC,1,Buy,13553.70358342,14842.97249967,0.09512299780756164,5,0.55643296
