feature,importance
volume_sma,0.035818181931972504
volatility,0.02729581482708454
price_rank_50d,0.02617816813290119
bb_position,0.02487952634692192
bu,0.023179497569799423
volume,0.022644516080617905
sma_50,0.022110408172011375
rsi,0.021106084808707237
low,0.020804736763238907
vwap,0.020083831623196602
volume_zscore,0.02005644328892231
mfi,0.019987812265753746
volatility_of_volatility,0.01927403174340725
cum_return_5d,0.019273245707154274
bb_upper,0.01918376050889492
return_20d,0.018899928778409958
ema_50,0.018843436613678932
roc_20,0.018728753551840782
high_low_ratio,0.01861986517906189
bb_lower,0.018216058611869812
volume_ratio,0.018206553533673286
vol_regime,0.017702238634228706
cum_return_10d,0.01742049679160118
sma_20,0.017365746200084686
ema_5,0.017214523628354073
bb_width,0.017201483249664307
return_1d,0.016399836167693138
return_60d,0.016102859750390053
obv,0.016092907637357712
atr,0.01604943349957466
vwap_ratio,0.01596284657716751
high,0.015614350326359272
bu_sd_ratio,0.015589453279972076
sd,0.0155111663043499
net_active_volume,0.01521857175976038
adx,0.015117201022803783
gap,0.015081923454999924
price_rank_20d,0.014938692562282085
stoch_signal,0.014524814672768116
trend_sma,0.014123057015240192
macd,0.014093945734202862
close,0.014022144488990307
return_5d,0.013926112093031406
stoch,0.013846216723322868
macd_signal,0.013711323961615562
ema_20,0.013685501180589199
roc_5,0.013645961880683899
macd_diff,0.013628900051116943
atr_ratio,0.013545452617108822
return_120d,0.013498294167220592
return_10d,0.013419089838862419
ema_10,0.013181082904338837
sma_10,0.01309065893292427
roc_10,0.013085534796118736
close_open_ratio,0.011493382044136524
active_volume_ratio,0.011273669078946114
open,0.011140395887196064
above_trend,0.0101372255012393
cum_return_20d,0.008952891454100609
