feature,importance
volatility,0.028945498168468475
trend_sma,0.026433385908603668
stoch,0.026066800579428673
price_rank_50d,0.02510550431907177
bb_upper,0.024956870824098587
sma_40,0.024741973727941513
adx,0.022831497713923454
atr_ratio,0.022260691970586777
return_480d,0.02221098728477955
vwap,0.02146519161760807
bb_position,0.02095063216984272
vwap_ratio,0.020789407193660736
return_240d,0.019842442125082016
mfi,0.019830727949738503
ema_40,0.019673293456435204
volume_sma,0.01921679824590683
return_20d,0.019113561138510704
volatility_of_volatility,0.018154198303818703
sma_200,0.017899436876177788
obv,0.017759358510375023
ema_20,0.017737388610839844
bb_lower,0.017365481704473495
close,0.017345264554023743
atr,0.01713602989912033
low,0.017055774107575417
bb_width,0.016812335699796677
open,0.016532015055418015
rsi,0.016520069912075996
roc_5,0.01627739518880844
cum_return_20d,0.016181370243430138
cum_return_5d,0.015866542235016823
roc_20,0.01582280732691288
macd_signal,0.015674086287617683
roc_10,0.015320477075874805
ema_200,0.015292871743440628
return_40d,0.015005146153271198
high,0.014831320382654667
stoch_signal,0.01472545601427555
macd,0.014621452428400517
vol_regime,0.014536848291754723
volume,0.014241241849958897
close_open_ratio,0.014230052009224892
return_4d,0.014190970920026302
ema_80,0.013923730701208115
sma_80,0.013870895840227604
high_low_ratio,0.013596903532743454
sd,0.01357859093695879
above_trend,0.013556388206779957
cum_return_10d,0.013418457470834255
return_80d,0.013326372019946575
price_rank_20d,0.013247860595583916
macd_diff,0.012461481615900993
bu,0.012158640660345554
bu_sd_ratio,0.011682252399623394
volume_zscore,0.011238726787269115
active_volume_ratio,0.010961770080029964
net_active_volume,0.010746752843260765
volume_ratio,0.010395796038210392
gap,0.010264751501381397
